Date_Submitted,Cx_quinquefasciatus_fem,TRAPID,LOCATION
1/25/2019,1,CW6,23941 SW 112 Ct
1/31/2019,26,CW6,23941 SW 112 Ct
2/7/2019,41,CW6,23941 SW 112 Ct
2/22/2019,12,CW6,23941 SW 112 Ct
3/1/2019,10,CW6,23941 SW 112 Ct
3/7/2019,132,CW6,23941 SW 112 Ct
3/14/2019,25,CW6,23941 SW 112 Ct
3/21/2019,160,CW6,23941 SW 112 Ct
3/28/2019,20,CW6,23941 SW 112 Ct
4/4/2019,13,CW6,23941 SW 112 Ct
4/12/2019,92,CW6,23941 SW 112 Ct
4/18/2019,105,CW6,23941 SW 112 Ct
4/25/2019,19,CW6,23941 SW 112 Ct
5/2/2019,362,CW6,23941 SW 112 Ct
5/9/2019,48,CW6,23941 SW 112 Ct
5/16/2019,52,CW6,23941 SW 112 Ct
5/23/2019,230,CW6,23941 SW 112 Ct
5/31/2019,23,CW6,23941 SW 112 Ct
6/6/2019,16,CW6,23941 SW 112 Ct
6/13/2019,13,CW6,23941 SW 112 Ct
6/25/2019,15,CW6,23941 SW 112 Ct
7/3/2019,8,CW6,23941 SW 112 Ct
7/11/2019,11,CW6,23941 SW 112 Ct
8/1/2019,6,CW6,23941 SW 112 Ct
8/8/2019,1,CW6,23941 SW 112 Ct
8/15/2019,7,CW6,23941 SW 112 Ct
8/22/2019,12,CW6,23941 SW 112 Ct
9/6/2019,6,CW6,23941 SW 112 Ct
9/12/2019,25,CW6,23941 SW 112 Ct
9/19/2019,24,CW6,23941 SW 112 Ct
9/26/2019,5,CW6,23941 SW 112 Ct
10/3/2019,12,CW6,23941 SW 112 Ct
10/10/2019,2,CW6,23941 SW 112 Ct
10/18/2019,21,CW6,23941 SW 112 Ct
10/31/2019,10,CW6,23941 SW 112 Ct
11/7/2019,42,CW6,23941 SW 112 Ct
11/15/2019,53,CW6,23941 SW 112 Ct
11/21/2019,64,CW6,23941 SW 112 Ct
12/5/2019,212,CW6,23941 SW 112 Ct
12/12/2019,1,CW6,23941 SW 112 Ct
12/27/2019,2,CW6,23941 SW 112 Ct
1/3/2020,10,CW6,23941 SW 112 Ct
1/9/2020,72,CW6,23941 SW 112 Ct
1/16/2020,100,CW6,23941 SW 112 Ct
1/24/2020,72,CW6,23941 SW 112 Ct
1/30/2020,48,CW6,23941 SW 112 Ct
2/6/2020,4,CW6,23941 SW 112 Ct
2/21/2020,15,CW6,23941 SW 112 Ct
2/28/2020,24,CW6,23941 SW 112 Ct
3/5/2020,2,CW6,23941 SW 112 Ct
3/12/2020,7,CW6,23941 SW 112 Ct
3/19/2020,86,CW6,23941 SW 112 Ct
3/26/2020,80,CW6,23941 SW 112 Ct
4/2/2020,288,CW6,23941 SW 112 Ct
4/9/2020,5,CW6,23941 SW 112 Ct
4/16/2020,6,CW6,23941 SW 112 Ct
4/23/2020,4,CW6,23941 SW 112 Ct
4/30/2020,53,CW6,23941 SW 112 Ct
5/7/2020,10,CW6,23941 SW 112 Ct
5/21/2020,2,CW6,23941 SW 112 Ct
5/29/2020,8,CW6,23941 SW 112 Ct
6/11/2020,6,CW6,23941 SW 112 Ct
6/18/2020,7,CW6,23941 SW 112 Ct
6/25/2020,4,CW6,23941 SW 112 Ct
7/2/2020,6,CW6,23941 SW 112 Ct
7/16/2020,1,CW6,23941 SW 112 Ct
8/28/2020,6,CW6,23941 SW 112 Ct
9/3/2020,1,CW6,23941 SW 112 Ct
9/11/2020,4,CW6,23941 SW 112 Ct
9/17/2020,2,CW6,23941 SW 112 Ct
9/24/2020,1,CW6,23941 SW 112 Ct
10/1/2020,4,CW6,23941 SW 112 Ct
10/8/2020,3,CW6,23941 SW 112 Ct
10/16/2020,2,CW6,23941 SW 112 Ct
11/5/2020,6,CW6,23941 SW 112 Ct
11/19/2020,5,CW6,23941 SW 112 Ct
12/10/2020,10,CW6,23941 SW 112 Ct
12/17/2020,5,CW6,23941 SW 112 Ct
12/24/2020,10,CW6,23941 SW 112 Ct
12/31/2020,2,CW6,23941 SW 112 Ct
1/7/2021,63,CW6,23941 SW 112 Ct
1/14/2021,7,CW6,23941 SW 112 Ct
1/22/2021,50,CW6,23941 SW 112 Ct
1/28/2021,162,CW6,23941 SW 112 Ct
2/4/2021,136,CW6,23941 SW 112 Ct
2/19/2021,26,CW6,23941 SW 112 Ct
2/25/2021,1,CW6,23941 SW 112 Ct
3/4/2021,10,CW6,23941 SW 112 Ct
3/11/2021,6,CW6,23941 SW 112 Ct
3/18/2021,172,CW6,23941 SW 112 Ct
3/25/2021,11,CW6,23941 SW 112 Ct
4/1/2021,28,CW6,23941 SW 112 Ct
4/8/2021,12,CW6,23941 SW 112 Ct
4/15/2021,96,CW6,23941 SW 112 Ct
4/22/2021,68,CW6,23941 SW 112 Ct
4/29/2021,192,CW6,23941 SW 112 Ct
5/6/2021,23,CW6,23941 SW 112 Ct
5/13/2021,4,CW6,23941 SW 112 Ct
5/20/2021,2,CW6,23941 SW 112 Ct
5/27/2021,62,CW6,23941 SW 112 Ct
6/4/2021,2,CW6,23941 SW 112 Ct
6/10/2021,16,CW6,23941 SW 112 Ct
6/17/2021,1,CW6,23941 SW 112 Ct
7/1/2021,2,CW6,23941 SW 112 Ct
7/15/2021,11,CW6,23941 SW 112 Ct
7/22/2021,21,CW6,23941 SW 112 Ct
7/29/2021,2,CW6,23941 SW 112 Ct
8/5/2021,1,CW6,23941 SW 112 Ct
8/19/2021,6,CW6,23941 SW 112 Ct
8/26/2021,1,CW6,23941 SW 112 Ct
9/2/2021,4,CW6,23941 SW 112 Ct
9/10/2021,1,CW6,23941 SW 112 Ct
9/23/2021,1,CW6,23941 SW 112 Ct
10/15/2021,5,CW6,23941 SW 112 Ct
10/21/2021,14,CW6,23941 SW 112 Ct
11/4/2021,2,CW6,23941 SW 112 Ct
9/27/2016,2,CW20,11190 SW 64 St
10/4/2016,1,CW20,11190 SW 64 St
10/11/2016,3,CW20,11190 SW 64 St
10/18/2016,1,CW20,11190 SW 64 St
11/1/2016,3,CW20,11190 SW 64 St
11/8/2016,2,CW20,11190 SW 64 St
11/15/2016,19,CW20,11190 SW 64 St
11/29/2016,10,CW20,11190 SW 64 St
12/6/2016,2,CW20,11190 SW 64 St
12/13/2016,2,CW20,11190 SW 64 St
12/20/2016,27,CW20,11190 SW 64 St
12/27/2016,13,CW20,11190 SW 64 St
1/10/2017,13,CW20,11190 SW 64 St
1/24/2017,20,CW20,11190 SW 64 St
1/31/2017,8,CW20,11190 SW 64 St
2/9/2017,10,CW20,11190 SW 64 St
2/16/2017,27,CW20,11190 SW 64 St
2/24/2017,13,CW20,11190 SW 64 St
3/2/2017,3,CW20,11190 SW 64 St
3/9/2017,66,CW20,11190 SW 64 St
3/16/2017,7,CW20,11190 SW 64 St
3/23/2017,45,CW20,11190 SW 64 St
3/30/2017,13,CW20,11190 SW 64 St
4/6/2017,15,CW20,11190 SW 64 St
4/13/2017,4,CW20,11190 SW 64 St
4/20/2017,44,CW20,11190 SW 64 St
4/27/2017,5,CW20,11190 SW 64 St
5/4/2017,11,CW20,11190 SW 64 St
5/18/2017,24,CW20,11190 SW 64 St
5/25/2017,8,CW20,11190 SW 64 St
6/2/2017,3,CW20,11190 SW 64 St
6/22/2017,10,CW20,11190 SW 64 St
8/24/2017,1,CW20,11190 SW 64 St
8/31/2017,3,CW20,11190 SW 64 St
9/21/2017,8,CW20,11190 SW 64 St
9/28/2017,1,CW20,11190 SW 64 St
10/13/2017,8,CW20,11190 SW 64 St
10/19/2017,1,CW20,11190 SW 64 St
10/26/2017,20,CW20,11190 SW 64 St
11/2/2017,10,CW20,11190 SW 64 St
11/16/2017,2,CW20,11190 SW 64 St
11/30/2017,9,CW20,11190 SW 64 St
12/7/2017,1,CW20,11190 SW 64 St
12/14/2017,4,CW20,11190 SW 64 St
12/22/2017,2,CW20,11190 SW 64 St
12/29/2017,9,CW20,11190 SW 64 St
1/5/2018,5,CW20,11190 SW 64 St
1/11/2018,15,CW20,11190 SW 64 St
2/1/2018,6,CW20,11190 SW 64 St
2/8/2018,25,CW20,11190 SW 64 St
2/15/2018,14,CW20,11190 SW 64 St
2/23/2018,26,CW20,11190 SW 64 St
3/1/2018,11,CW20,11190 SW 64 St
3/8/2018,3,CW20,11190 SW 64 St
3/15/2018,42,CW20,11190 SW 64 St
3/22/2018,49,CW20,11190 SW 64 St
3/29/2018,39,CW20,11190 SW 64 St
4/5/2018,14,CW20,11190 SW 64 St
4/13/2018,10,CW20,11190 SW 64 St
4/19/2018,5,CW20,11190 SW 64 St
4/26/2018,6,CW20,11190 SW 64 St
5/3/2018,37,CW20,11190 SW 64 St
5/10/2018,46,CW20,11190 SW 64 St
5/17/2018,6,CW20,11190 SW 64 St
5/24/2018,12,CW20,11190 SW 64 St
6/1/2018,2,CW20,11190 SW 64 St
6/7/2018,17,CW20,11190 SW 64 St
6/14/2018,6,CW20,11190 SW 64 St
6/28/2018,1,CW20,11190 SW 64 St
7/6/2018,3,CW20,11190 SW 64 St
7/12/2018,2,CW20,11190 SW 64 St
7/19/2018,4,CW20,11190 SW 64 St
7/26/2018,12,CW20,11190 SW 64 St
8/2/2018,8,CW20,11190 SW 64 St
8/9/2018,9,CW20,11190 SW 64 St
8/16/2018,3,CW20,11190 SW 64 St
8/23/2018,4,CW20,11190 SW 64 St
8/30/2018,4,CW20,11190 SW 64 St
9/7/2018,3,CW20,11190 SW 64 St
9/14/2018,20,CW20,11190 SW 64 St
9/21/2018,5,CW20,11190 SW 64 St
9/28/2018,11,CW20,11190 SW 64 St
10/5/2018,8,CW20,11190 SW 64 St
10/18/2018,8,CW20,11190 SW 64 St
10/25/2018,21,CW20,11190 SW 64 St
11/1/2018,44,CW20,11190 SW 64 St
11/8/2018,2,CW20,11190 SW 64 St
11/16/2018,7,CW20,11190 SW 64 St
11/29/2018,4,CW20,11190 SW 64 St
12/6/2018,8,CW20,11190 SW 64 St
12/20/2018,6,CW20,11190 SW 64 St
1/10/2019,8,CW20,11190 SW 64 St
1/17/2019,98,CW20,11190 SW 64 St
1/31/2019,25,CW20,11190 SW 64 St
2/7/2019,12,CW20,11190 SW 64 St
2/14/2019,2,CW20,11190 SW 64 St
2/22/2019,9,CW20,11190 SW 64 St
3/1/2019,2,CW20,11190 SW 64 St
3/7/2019,4,CW20,11190 SW 64 St
3/14/2019,36,CW20,11190 SW 64 St
3/21/2019,96,CW20,11190 SW 64 St
3/28/2019,20,CW20,11190 SW 64 St
4/4/2019,54,CW20,11190 SW 64 St
4/12/2019,12,CW20,11190 SW 64 St
4/18/2019,22,CW20,11190 SW 64 St
4/25/2019,20,CW20,11190 SW 64 St
5/9/2019,16,CW20,11190 SW 64 St
5/16/2019,9,CW20,11190 SW 64 St
5/23/2019,15,CW20,11190 SW 64 St
5/31/2019,65,CW20,11190 SW 64 St
6/6/2019,7,CW20,11190 SW 64 St
6/13/2019,3,CW20,11190 SW 64 St
6/20/2019,1,CW20,11190 SW 64 St
6/25/2019,7,CW20,11190 SW 64 St
7/18/2019,5,CW20,11190 SW 64 St
7/25/2019,6,CW20,11190 SW 64 St
8/1/2019,17,CW20,11190 SW 64 St
8/8/2019,3,CW20,11190 SW 64 St
8/15/2019,2,CW20,11190 SW 64 St
8/22/2019,17,CW20,11190 SW 64 St
9/12/2019,2,CW20,11190 SW 64 St
9/19/2019,30,CW20,11190 SW 64 St
9/26/2019,2,CW20,11190 SW 64 St
10/3/2019,3,CW20,11190 SW 64 St
10/18/2019,1,CW20,11190 SW 64 St
10/24/2019,1,CW20,11190 SW 64 St
10/31/2019,5,CW20,11190 SW 64 St
11/7/2019,18,CW20,11190 SW 64 St
11/15/2019,5,CW20,11190 SW 64 St
11/21/2019,2,CW20,11190 SW 64 St
12/5/2019,19,CW20,11190 SW 64 St
12/12/2019,1,CW20,11190 SW 64 St
12/19/2019,5,CW20,11190 SW 64 St
12/27/2019,9,CW20,11190 SW 64 St
1/3/2020,4,CW20,11190 SW 64 St
1/9/2020,12,CW20,11190 SW 64 St
1/16/2020,3,CW20,11190 SW 64 St
1/24/2020,1,CW20,11190 SW 64 St
1/30/2020,19,CW20,11190 SW 64 St
2/6/2020,12,CW20,11190 SW 64 St
2/13/2020,2,CW20,11190 SW 64 St
2/21/2020,3,CW20,11190 SW 64 St
2/28/2020,7,CW20,11190 SW 64 St
3/5/2020,10,CW20,11190 SW 64 St
3/12/2020,4,CW20,11190 SW 64 St
3/19/2020,39,CW20,11190 SW 64 St
3/26/2020,20,CW20,11190 SW 64 St
4/2/2020,28,CW20,11190 SW 64 St
4/16/2020,5,CW20,11190 SW 64 St
4/23/2020,6,CW20,11190 SW 64 St
4/30/2020,23,CW20,11190 SW 64 St
5/7/2020,34,CW20,11190 SW 64 St
5/14/2020,16,CW20,11190 SW 64 St
5/21/2020,3,CW20,11190 SW 64 St
5/29/2020,7,CW20,11190 SW 64 St
6/4/2020,5,CW20,11190 SW 64 St
6/11/2020,3,CW20,11190 SW 64 St
6/25/2020,15,CW20,11190 SW 64 St
7/2/2020,4,CW20,11190 SW 64 St
7/9/2020,4,CW20,11190 SW 64 St
7/16/2020,1,CW20,11190 SW 64 St
7/23/2020,4,CW20,11190 SW 64 St
8/13/2020,1,CW20,11190 SW 64 St
8/28/2020,4,CW20,11190 SW 64 St
9/3/2020,4,CW20,11190 SW 64 St
9/17/2020,11,CW20,11190 SW 64 St
10/23/2020,6,CW20,11190 SW 64 St
11/5/2020,12,CW20,11190 SW 64 St
12/3/2020,12,CW20,11190 SW 64 St
12/10/2020,1,CW20,11190 SW 64 St
12/17/2020,1,CW20,11190 SW 64 St
12/24/2020,4,CW20,11190 SW 64 St
1/7/2021,65,CW20,11190 SW 64 St
1/14/2021,1,CW20,11190 SW 64 St
1/28/2021,17,CW20,11190 SW 64 St
2/4/2021,1,CW20,11190 SW 64 St
2/11/2021,15,CW20,11190 SW 64 St
2/25/2021,9,CW20,11190 SW 64 St
3/4/2021,1,CW20,11190 SW 64 St
3/11/2021,37,CW20,11190 SW 64 St
3/18/2021,18,CW20,11190 SW 64 St
4/1/2021,9,CW20,11190 SW 64 St
4/8/2021,49,CW20,11190 SW 64 St
4/15/2021,46,CW20,11190 SW 64 St
4/22/2021,10,CW20,11190 SW 64 St
4/29/2021,13,CW20,11190 SW 64 St
5/6/2021,15,CW20,11190 SW 64 St
5/13/2021,6,CW20,11190 SW 64 St
5/20/2021,1,CW20,11190 SW 64 St
5/27/2021,62,CW20,11190 SW 64 St
6/4/2021,2,CW20,11190 SW 64 St
6/8/2021,41,CW20,11190 SW 64 St
6/25/2021,9,CW20,11190 SW 64 St
7/1/2021,5,CW20,11190 SW 64 St
7/9/2021,4,CW20,11190 SW 64 St
7/22/2021,2,CW20,11190 SW 64 St
7/29/2021,6,CW20,11190 SW 64 St
8/12/2021,8,CW20,11190 SW 64 St
8/19/2021,2,CW20,11190 SW 64 St
8/26/2021,1,CW20,11190 SW 64 St
9/2/2021,3,CW20,11190 SW 64 St
9/10/2021,2,CW20,11190 SW 64 St
9/23/2021,1,CW20,11190 SW 64 St
9/30/2021,32,CW20,11190 SW 64 St
10/7/2021,1,CW20,11232 SW 63 Ter
10/15/2021,1,CW20,11232 SW 63 Ter
10/21/2021,13,CW20,11232 SW 63 Ter
9/13/2016,3,CW41,9795 NW 28TH TER
9/20/2016,1,CW41,9795 NW 28TH TER
10/11/2016,3,CW41,9815 NW 28 TERR
10/18/2016,1,CW41,9815 NW 28 TERR
10/25/2016,2,CW41,9815 NW 28 TERR
11/15/2016,8,CW41,9815 NW 28 TERR
11/22/2016,2,CW41,9815 NW 28 TERR
11/29/2016,4,CW41,9815 NW 28 TERR
12/6/2016,9,CW41,9815 NW 28 TERR
12/13/2016,2,CW41,9815 NW 28 TERR
12/20/2016,1,CW41,9815 NW 28 TERR
12/27/2016,31,CW41,9815 NW 28 TERR
1/3/2017,52,CW41,9815 NW 28 TERR
1/10/2017,9,CW41,9815 NW 28 TERR
1/17/2017,17,CW41,9815 NW 28 TERR
1/24/2017,38,CW41,9815 NW 28 TERR
1/31/2017,10,CW41,9815 NW 28 TERR
2/7/2017,44,CW41,9815 NW 28 TERR
2/14/2017,11,CW41,9815 NW 28 TERR
2/22/2017,87,CW41,9815 NW 28 TERR
2/28/2017,25,CW41,9815 NW 28 TERR
3/7/2017,40,CW41,9815 NW 28 TERR
3/14/2017,98,CW41,9815 NW 28 TERR
3/21/2017,51,CW41,9815 NW 28 TERR
3/28/2017,79,CW41,9815 NW 28 TERR
4/4/2017,19,CW41,9815 NW 28 TERR
4/11/2017,81,CW41,9815 NW 28 TERR
4/18/2017,76,CW41,9815 NW 28 TERR
4/25/2017,200,CW41,9815 NW 28 TERR
5/9/2017,58,CW41,9815 NW 28 TERR
5/16/2017,10,CW41,9815 NW 28 TERR
5/23/2017,24,CW41,9815 NW 28 TERR
5/31/2017,45,CW41,9815 NW 28 TERR
6/6/2017,8,CW41,9815 NW 28 TERR
6/13/2017,9,CW41,9815 NW 28 TERR
6/27/2017,2,CW41,9815 NW 28 TERR
7/4/2017,1,CW41,9815 NW 28 TERR
7/11/2017,2,CW41,9815 NW 28 TERR
7/18/2017,2,CW41,9815 NW 28 TERR
7/25/2017,6,CW41,9815 NW 28 TERR
8/1/2017,7,CW41,9815 NW 28 TERR
8/8/2017,13,CW41,9815 NW 28 TERR
8/15/2017,2,CW41,9815 NW 28 TERR
8/24/2017,2,CW41,9815 NW 28 TERR
9/19/2017,7,CW41,9815 NW 28 TERR
10/3/2017,1,CW41,9815 NW 28 TERR
10/11/2017,1,CW41,9815 NW 28 TERR
10/17/2017,9,CW41,9815 NW 28 TERR
10/24/2017,2,CW41,9815 NW 28 TERR
10/31/2017,47,CW41,9815 NW 28 TERR
11/7/2017,11,CW41,9815 NW 28 TERR
11/14/2017,16,CW41,9815 NW 28 TERR
11/28/2017,44,CW41,9815 NW 28 TERR
12/5/2017,8,CW41,9815 NW 28 TERR
12/12/2017,10,CW41,9815 NW 28 TERR
12/20/2017,11,CW41,9815 NW 28 TERR
12/27/2017,216,CW41,9815 NW 28 TERR
1/3/2018,8,CW41,9815 NW 28 TERR
1/9/2018,1,CW41,9815 NW 28 TERR
1/17/2018,90,CW41,9815 NW 28 TERR
1/30/2018,52,CW41,9815 NW 28 TERR
2/6/2018,109,CW41,9815 NW 28 TERR
2/13/2018,147,CW41,9815 NW 28 TERR
2/21/2018,37,CW41,9815 NW 28 TERR
2/27/2018,94,CW41,9815 NW 28 TERR
3/6/2018,67,CW41,9815 NW 28 TERR
3/13/2018,33,CW41,9815 NW 28 TERR
3/20/2018,209,CW41,9815 NW 28 TERR
3/27/2018,61,CW41,9815 NW 28 TERR
4/3/2018,212,CW41,9815 NW 28 TERR
4/10/2018,179,CW41,9815 NW 28 TERR
4/17/2018,77,CW41,9815 NW 28 TERR
4/24/2018,16,CW41,9815 NW 28 TERR
5/1/2018,46,CW41,9815 NW 28 TERR
5/8/2018,3,CW41,9815 NW 28 TERR
5/15/2018,24,CW41,9815 NW 28 TERR
5/22/2018,16,CW41,9815 NW 28 TERR
5/30/2018,13,CW41,9815 NW 28 TERR
6/5/2018,85,CW41,9815 NW 28 TERR
6/12/2018,35,CW41,9815 NW 28 TERR
6/19/2018,16,CW41,9815 NW 28 TERR
6/26/2018,9,CW41,9815 NW 28 TERR
7/3/2018,1,CW41,9815 NW 28 TERR
7/10/2018,35,CW41,9815 NW 28 TERR
7/18/2018,6,CW41,9815 NW 28 TERR
8/9/2018,17,CW41,9815 NW 28 TERR
8/16/2018,6,CW41,9815 NW 28 TERR
8/23/2018,1,CW41,9815 NW 28 TERR
9/28/2018,3,CW41,9870 NW 28 Ter
10/5/2018,3,CW41,9870 NW 28 Ter
10/12/2018,3,CW41,9870 NW 28 Ter
10/18/2018,4,CW41,9870 NW 28 Ter
10/25/2018,10,CW41,9870 NW 28 Ter
11/1/2018,23,CW41,9870 NW 28 Ter
11/8/2018,2,CW41,9870 NW 28 Ter
11/29/2018,1,CW41,9870 NW 28 Ter
12/13/2018,3,CW41,9870 NW 28 Ter
1/10/2019,1,CW41,9870 NW 28 Ter
1/17/2019,8,CW41,9870 NW 28 Ter
2/7/2019,1,CW41,9870 NW 28 Ter
2/14/2019,1,CW41,9870 NW 28 Ter
2/22/2019,1,CW41,9870 NW 28 Ter
3/1/2019,5,CW41,9870 NW 28 Ter
3/21/2019,2,CW41,9870 NW 28 Ter
4/4/2019,1,CW41,9870 NW 28 Ter
4/12/2019,3,CW41,9870 NW 28 Ter
4/25/2019,5,CW41,9870 NW 28 Ter
5/2/2019,11,CW41,9870 NW 28 Ter
5/16/2019,2,CW41,9870 NW 28 Ter
5/23/2019,3,CW41,9870 NW 28 Ter
5/31/2019,6,CW41,9870 NW 28 Ter
6/6/2019,11,CW41,9870 NW 28 Ter
7/18/2019,2,CW41,9870 NW 28 Ter
12/5/2019,1,CW41,9870 NW 28 Ter
1/16/2020,1,CW41,9870 NW 28 Ter
2/6/2020,3,CW41,9870 NW 28 Ter
3/5/2020,3,CW41,9870 NW 28 Ter
3/19/2020,1,CW41,9870 NW 28 Ter
3/26/2020,1,CW41,9870 NW 28 Ter
4/2/2020,10,CW41,9870 NW 28 Ter
4/16/2020,7,CW41,9870 NW 28 Ter
4/23/2020,8,CW41,9870 NW 28 Ter
4/30/2020,1,CW41,9870 NW 28 Ter
5/7/2020,4,CW41,9870 NW 28 Ter
5/21/2020,1,CW41,9870 NW 28 Ter
5/29/2020,1,CW41,9870 NW 28 Ter
6/4/2020,3,CW41,9870 NW 28 Ter
6/11/2020,3,CW41,9870 NW 28 Ter
6/18/2020,3,CW41,9870 NW 28 Ter
7/16/2020,1,CW41,9870 NW 28 Ter
7/30/2020,2,CW41,9870 NW 28 Ter
8/6/2020,1,CW41,9870 NW 28 Ter
8/13/2020,2,CW41,9870 NW 28 Ter
8/28/2020,1,CW41,9870 NW 28 Ter
9/24/2020,5,CW41,9870 NW 28 Ter
10/23/2020,2,CW41,9870 NW 28 Ter
11/5/2020,2,CW41,9870 NW 28 Ter
11/19/2020,5,CW41,9870 NW 28 Ter
12/3/2020,1,CW41,9870 NW 28 Ter
1/7/2021,1,CW41,9870 NW 28 Ter
1/14/2021,1,CW41,9870 NW 28 Ter
1/22/2021,4,CW41,9870 NW 28 Ter
1/28/2021,2,CW41,9870 NW 28 Ter
2/4/2021,3,CW41,9870 NW 28 Ter
2/25/2021,1,CW41,9870 NW 28 Ter
3/11/2021,1,CW41,9870 NW 28 Ter
3/18/2021,6,CW41,9870 NW 28 Ter
3/25/2021,12,CW41,9870 NW 28 Ter
4/1/2021,7,CW41,9870 NW 28 Ter
